Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C59,10µF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,105.8,-112.9,90.0,top
C60,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.5,-91.0,-90.0,top
C61,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.5,-91.0,-90.0,top
C62,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.2625,-144.1,180.0,top
C63,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56.2625,-144.1,180.0,top
C64,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.0,-69.0,-90.0,top
C65,10µF,CP_Elec_4x5.4,110.0375,-84.5,0.0,top
C66,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.5,-80.5,0.0,top
C67,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.5,-72.0,180.0,top
C68,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.5,-80.5,0.0,top
C69,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.5,-72.0,180.0,top
C70,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,102.0,-69.0,-90.0,top
C71,10µF,CP_Elec_4x5.4,102.125,-84.5,0.0,top
C72,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.0,-69.0,-90.0,top
C73,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.0,-69.0,-90.0,top
C74,10µF,CP_Elec_4x5.4,84.8,-84.5,0.0,top
C75,10µF,CP_Elec_4x5.4,77.0875,-84.5,0.0,top
C76,10µF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,143.0,-123.1,-90.0,top
C77,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.5,-72.5,90.0,top
C78,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.5,-67.5,-90.0,top
C79,10µF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,118.5,-136.5,90.0,top
C80,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.5,-146.0,-90.0,top
C81,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.0,-135.975,90.0,top
C82,10µF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,126.0625,-137.0,0.0,top
C83,10µF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,121.0,-145.0,180.0,top
C84,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.0,-146.0,-90.0,top
C85,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.5,-135.0,90.0,top
C86,10µF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,145.5,-136.0,0.0,top
C87,10µF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,146.0,-145.0,0.0,top
C88,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,73.75,-139.5,-90.0,top
C89,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.5,-131.5,-45.0,top
C90,10µF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,86.0,-128.0,45.0,top
C91,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,68.233623,-126.0,45.0,top
C92,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.0,-125.0,-45.0,top
C93,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,113.0,-72.0,180.0,top
C94,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.0,-72.0,0.0,top
C95,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,88.0,-72.0,180.0,top
C96,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,76.0,-72.0,0.0,top
C97,30pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.0,-64.5,0.0,top
C98,100µF 50V,CP_Elec_8x10,160.05,-58.5,90.0,top
C99,10µF,CP_Elec_4x5.4,120.0,-109.0875,90.0,top
C100,10µF,CP_Elec_4x5.4,120.0,-117.0875,-90.0,top
D1,1N5822,D_DO-201AD_P15.24mm_Horizontal,153.67,-72.0,0.0,top
D2,1N4148,D_SOD-123,116.0,-136.5,90.0,top
D3,1N4148,D_SOD-123,120.0,-141.5,-90.0,top
FID1,Fiducial,Fiducial_1.5mm_Mask3mm,50.0,-150.0,0.0,top
FID2,Fiducial,Fiducial_1.5mm_Mask3mm,250.0,-150.0,0.0,top
FID3,Fiducial,Fiducial_1.5mm_Mask3mm,244.0,-56.0,0.0,top
H1,~,3.2mm Hole Oblong,50.0,-56.0,0.0,top
